title,url,imdbRating,duration,year,Action,Adventure,Animation,Comedy,Crime,Drama,Horror,Romance,Science-Fiction,Thriller,,,,
An deiner Seite (1999),http://www.imdb.com/title/tt0160916/,5.9,5700,1999,0,0,0,1,0,1,0,1,0,0,,,,
Victim of Love (Video 1992),http://www.imdb.com/title/tt0161058/,6.3,,1992,0,0,0,0,0,0,0,0,0,0,,,,
For His Eyes Only (1989),http://www.imdb.com/title/tt0161584/,6.7,,1989,0,0,0,0,0,0,0,0,0,0,,,,
Angel - Jäger der Finsternis (TV Series 1999–2004),http://www.imdb.com/title/tt0162065/,8.1,2640,1999,1,0,0,0,0,1,0,0,0,0,,,,
Ghost World (2001),http://www.imdb.com/title/tt0162346/,7.5,6660,2001,0,0,0,1,0,1,0,0,0,0,,,,
Sleepy Hollow (1999),http://www.imdb.com/title/tt0162661/,7.5,6300,1999,0,0,0,0,0,1,0,0,0,0,,,,
Summer of Sam (1999),http://www.imdb.com/title/tt0162677/,6.6,8520,1999,0,0,0,0,1,1,0,1,0,0,,,,
Bump in the Night (TV Series 1994–1995),http://www.imdb.com/title/tt0162796/,8.2,1500,1994,0,0,1,1,0,0,0,0,0,0,,,,
American Pie: Wie ein Heisser Apfelkuchen (1999),http://www.imdb.com/title/tt0163651/,7,5700,1999,0,0,0,1,0,0,0,1,0,0,,,,
The Beach (2000),http://www.imdb.com/title/tt0163978/,6.6,7140,2000,0,1,0,0,0,1,0,1,0,0,,,,
Bringing Out the Dead - Nächte der Erinnerung (1999),http://www.imdb.com/title/tt0163988/,6.8,7260,1999,0,0,0,0,0,1,0,0,0,1,,,,
Dil Se - Von ganzem Herzen (1998),http://www.imdb.com/title/tt0164538/,7.6,9780,1998,0,0,0,0,0,1,0,1,0,0,,,,
Sexo\,sexo pudor y l grimas,http://www.imdb.com/title/tt0164877/,1343,6540,2,0,0,0,1,0,0,0,0,0,0,,,
Zatôichi abare-himatsuri (1970),http://www.imdb.com/title/tt0164982/,7.5,5760,1970,1,1,0,0,0,1,0,0,0,0,,,,
Zatôichi kenka-daiko (1968),http://www.imdb.com/title/tt0164983/,7.5,5040,1968,1,1,0,0,0,1,0,0,0,0,,,,
Zatoichi sekisho yaburi (1964),http://www.imdb.com/title/tt0164984/,7.4,5160,1964,1,1,0,0,0,1,0,0,0,0,,,,
Ghost Dog - Der Weg des Samurai (1999),http://www.imdb.com/title/tt0165798/,7.6,6960,1999,1,0,0,0,1,1,0,0,0,0,,,,
Romeo Must Die (2000),http://www.imdb.com/title/tt0165929/,6,6900,2000,1,0,0,0,1,0,0,0,0,1,,,,
Who Wants to Be a Millionaire (TV Series 1998– ),http://www.imdb.com/title/tt0166064/,6.4,3600,1998,0,0,0,0,0,0,0,0,0,0,,,,
Bones - Bis auf die Knochen (2001),http://www.imdb.com/title/tt0166110/,4,5760,2001,0,0,0,0,1,0,1,0,0,0,,,,
East Is East (1999),http://www.imdb.com/title/tt0166175/,6.9,5760,1999,0,0,0,1,0,1,0,0,0,0,,,,
The Taylor Predicament (1998),http://www.imdb.com/title/tt0166375/,6.3,,1998,0,0,0,1,0,0,0,1,0,0,,,,
Inside Edition (TV Series 1988– ),http://www.imdb.com/title/tt0166442/,4.1,,1988,0,0,0,0,0,0,0,0,0,0,,,,
Dumbo\,dumbo der fliegende elefant,http://www.imdb.com/title/tt0033563/,57473,3840,3,0,0,0,0,0,0,0,0,0,0,,,
The Lady with the Torch (1999),http://www.imdb.com/title/tt0166682/,6.4,7140,1999,0,0,0,0,0,0,0,0,0,0,,,,
Mulholland Drive (2001),http://www.imdb.com/title/tt0166924/,8,8820,2001,0,0,0,0,0,1,0,0,0,1,,,,
Der Graf von Monte Christo (TV Mini-Series 1998),http://www.imdb.com/title/tt0167565/,8.1,24000,1998,0,1,0,0,0,1,0,1,0,0,,,,
Parkinson (TV Series 1971–2007),http://www.imdb.com/title/tt0168358/,7.6,3000,1971,0,0,0,1,0,0,0,0,0,0,,,,
Ein gefährliches Unternehmen (1942),http://www.imdb.com/title/tt0033621/,6.8,5220,1942,0,1,0,0,0,1,0,0,0,0,,,,
Hilfe! Ich bin ein Fisch (2000),http://www.imdb.com/title/tt0168856/,5.8,4800,2000,0,1,1,1,0,0,0,0,0,0,,,,
À la recherche de Kundun avec Martin Scorsese (1998),http://www.imdb.com/title/tt0169410/,7.2,5100,1998,0,0,0,0,0,0,0,0,0,0,,,,
Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo\,shin seiki evangelion gekij ban air magokoro wo kimi ni,http://www.imdb.com/title/tt0169858/,13353,5400,3,0,0,0,0,0,0,0,0,0,0,,,
Der Grinch (2000),http://www.imdb.com/title/tt0170016/,5.9,6240,2000,0,0,0,1,0,0,0,0,0,0,,,,
Hadashi no Gen 2 (1986),http://www.imdb.com/title/tt0171357/,7.2,5100,1986,0,0,1,0,0,1,0,0,0,0,,,,
Glauben ist alles! (2000),http://www.imdb.com/title/tt0171433/,6.5,7680,2000,0,0,0,1,0,1,0,1,0,0,,,,
Genroku Chûshingura (1941),http://www.imdb.com/title/tt0033654/,7.5,14460,1941,1,0,0,0,0,1,0,0,0,0,,,,
The Thin Pink Line (1998),http://www.imdb.com/title/tt0171825/,4.5,6360,1998,0,0,0,1,0,0,0,0,0,0,,,,
Bad Boys II (2003),http://www.imdb.com/title/tt0172156/,6.5,8820,2003,1,0,0,1,1,0,0,0,0,0,,,,
Dollar for the Dead (TV Movie 1998),http://www.imdb.com/title/tt0172341/,5.3,5640,1998,0,0,0,0,0,0,0,0,0,0,,,,
Gaai tau saat sau (1996),http://www.imdb.com/title/tt0172610/,4.4,5520,1996,1,0,0,0,0,0,0,0,0,0,,,,
Pehla Nasha (1993),http://www.imdb.com/title/tt0172980/,5.6,,1993,0,0,0,0,0,1,0,0,0,1,,,,
Meine italienische Reise (2001),http://www.imdb.com/title/tt0173772/,8.2,14760,2001,0,0,0,0,0,0,0,0,0,0,,,,
Juve contre Fantômas (1913),http://www.imdb.com/title/tt0003037/,6.6,3660,1913,0,0,0,0,1,1,0,0,0,0,,,,
Phantom (1922),http://www.imdb.com/title/tt0013496/,7.1,7500,1922,0,0,0,0,0,1,0,1,0,0,,,,
Entscheidung in der Sierra (1941),http://www.imdb.com/title/tt0033717/,7.6,6000,1941,0,1,0,0,1,1,0,0,0,0,,,,
Screening (1998),http://www.imdb.com/title/tt0175144/,4.7,,1998,0,0,0,1,0,0,0,0,0,0,,,,
Magnolia (1999),http://www.imdb.com/title/tt0175880/,8,11280,1999,0,0,0,0,0,1,0,0,0,0,,,,
Forever Fabulous (1999),http://www.imdb.com/title/tt0176234/,6.9,6300,1999,0,0,0,1,0,1,0,0,0,0,,,,
Galaxy Quest - Planlos durchs Weltall (1999),http://www.imdb.com/title/tt0177789/,7.3,6120,1999,0,1,0,1,0,0,0,0,1,0,,,,
Der Sturm (2000),http://www.imdb.com/title/tt0177971/,6.3,7800,2000,1,1,0,0,0,1,0,0,0,0,,,,
Aandhi (1975),http://www.imdb.com/title/tt0178186/,7.8,7980,1975,0,0,0,0,0,1,0,0,0,0,,,,
Ring - Das Original (1998),http://www.imdb.com/title/tt0178868/,7.3,5760,1998,0,0,0,0,0,0,1,0,0,0,,,,
Bunny (1999),http://www.imdb.com/title/tt0179011/,6.9,420,1999,0,0,1,1,0,0,0,0,0,0,,,,
Histoire(s) du cinéma: Le contrôle de l'univers (Video 1998),http://www.imdb.com/title/tt0179214/,7.3,1620,1998,0,0,0,0,0,0,0,0,0,0,,,,
So grün war mein Tal (1941),http://www.imdb.com/title/tt0033729/,7.9,7080,1941,0,0,0,0,0,1,0,0,0,0,,,,
Histoire(s) du cinéma: Les signes parmi nous (Video 1998),http://www.imdb.com/title/tt0179215/,7.5,2280,1998,0,0,0,0,0,0,0,0,0,0,,,,
Histoire(s) du cinéma: Une histoire seule (Video 1989),http://www.imdb.com/title/tt0179216/,7.3,2520,1989,0,0,0,0,0,0,0,0,0,0,,,,
Die Abenteuer von Pluto Nash (2002),http://www.imdb.com/title/tt0180052/,3.7,5700,2002,1,0,0,1,0,0,0,0,1,0,,,,
Hardball (2001),http://www.imdb.com/title/tt0180734/,6.3,6360,2001,0,0,0,0,0,1,0,0,0,0,,,,
Captain Buzz Lightyear - Star Command (Video 2000),http://www.imdb.com/title/tt0181196/,5.9,4200,2000,1,1,1,0,0,0,0,0,0,0,,,,
Arabian Nights - Abenteuer aus 1001 Nacht (TV Movie 2000),http://www.imdb.com/title/tt0181199/,7.5,10500,2000,0,1,0,0,0,0,0,0,0,0,,,,
Traffic - Die Macht des Kartells (2000),http://www.imdb.com/title/tt0181865/,7.7,8820,2000,0,0,0,0,1,1,0,0,0,1,,,,
I Wake Up Screaming (1941),http://www.imdb.com/title/tt0033740/,7.3,4920,1941,0,0,0,0,1,1,0,0,0,0,,,,
Cheri-Bibi (1931),http://www.imdb.com/title/tt0182004/,,4380,1931,0,0,0,0,0,0,0,0,0,0,,,,
Verlorene Liebesmüh' (2000),http://www.imdb.com/title/tt0182295/,6.1,5580,2000,0,0,0,1,0,0,0,1,0,0,,,,
Family Guy (TV Series 1999– ),http://www.imdb.com/title/tt0182576/,8.5,1320,1999,0,0,1,1,0,0,0,0,0,0,,,,
Der 200 Jahre Mann (1999),http://www.imdb.com/title/tt0182789/,6.7,7920,1999,0,0,0,0,0,1,0,1,0,0,,,,
Ich\,ich beide sie,http://www.imdb.com/title/tt0183505/,148915,6960,1,0,0,0,1,0,0,0,0,0,0,,,
Nicht auflegen! (2002),http://www.imdb.com/title/tt0183649/,7.1,4860,2002,0,0,0,0,0,0,0,0,0,1,,,,
Ed\, 'n' Eddy (TV Series 1999–2009),ed edd n eddy tv series,7.4,12708,142,0,0,1,0,0,0,0,0,0,0,0,,
Shang-High Noon (2000),http://www.imdb.com/title/tt0184894/,6.6,6600,2000,1,1,0,1,0,0,0,0,0,0,,,,
The Legend of Zelda 2: Rinku no bôken (Video Game 1987),http://www.imdb.com/title/tt0185037/,7.3,,1987,1,1,0,0,0,0,0,0,0,0,,,,
In the Navy (1941),http://www.imdb.com/title/tt0033754/,7.2,5160,1941,0,0,0,1,0,0,0,1,0,0,,,,
Martha Stewart Living (TV Series 1991–2004),http://www.imdb.com/title/tt0185087/,5.3,3600,1991,0,0,0,0,0,0,0,0,0,0,,,,
Alles über meine Mutter (1999),http://www.imdb.com/title/tt0185125/,7.9,6060,1999,0,0,0,0,0,1,0,0,0,0,,,,
Little Nicky - Satan Junior (2000),http://www.imdb.com/title/tt0185431/,5.3,5400,2000,0,0,0,1,0,0,0,0,0,0,,,,
Playboy: The Story of X (Video 1998),http://www.imdb.com/title/tt0185609/,6.3,4920,1998,0,0,0,0,0,0,0,0,0,0,,,,
Band of Brothers - Wir waren wie Brüder (TV Mini-Series 2001),http://www.imdb.com/title/tt0185906/,9.6,42300,2001,1,0,0,0,0,1,0,0,0,0,,,,
Der Fall Mona (2000),http://www.imdb.com/title/tt0186045/,5.6,5760,2000,0,0,0,1,1,0,0,0,0,0,,,,
Frequency (2000),http://www.imdb.com/title/tt0186151/,7.3,7080,2000,0,0,0,0,1,1,0,0,0,0,,,,
Zatoichi tekka tabi (1967),http://www.imdb.com/title/tt0186725/,7.7,5580,1967,1,1,0,0,0,1,0,0,0,0,,,,
Nur noch 60 Sekunden (2000),http://www.imdb.com/title/tt0187078/,6.4,7080,2000,1,0,0,0,1,0,0,0,0,1,,,,
Lady Be Good (1941),http://www.imdb.com/title/tt0033803/,6.5,6720,1941,0,0,0,1,0,0,0,0,0,0,,,,
Farscape - Verschollen im All (TV Series 1999–2003),http://www.imdb.com/title/tt0187636/,8.4,3000,1999,0,1,0,0,0,0,0,0,1,0,,,,
Demented (1980),http://www.imdb.com/title/tt0188557/,3.6,5220,1980,0,0,0,0,1,0,1,0,0,1,,,,
Golgo 13: Queen Bee (Video 1998),http://www.imdb.com/title/tt0189559/,6.3,3420,1998,0,0,1,0,1,0,0,0,0,1,,,,
O Brother\,o brother where art thou eine mississippi odyssee,http://www.imdb.com/title/tt0190590/,176256,6360,2,0,0,0,1,0,0,0,0,0,0,,,
Zatôichi abare tako (1964),http://www.imdb.com/title/tt0191664/,7.3,4920,1964,1,1,0,0,0,1,0,0,0,0,,,,
Bigfoot (1967),http://www.imdb.com/title/tt0191831/,7.3,60,1967,0,0,0,0,0,0,0,0,0,0,,,,
Mutant Man (1996),http://www.imdb.com/title/tt0192339/,2,4620,1996,0,0,0,1,0,0,1,0,0,0,,,,
Die Falschspielerin (1941),http://www.imdb.com/title/tt0033804/,8,5640,1941,0,0,0,1,0,0,0,1,0,0,,,,
Sam and Max Hit the Road (Video Game 1993),http://www.imdb.com/title/tt0192565/,8.3,,1993,0,1,1,1,0,0,0,0,0,0,,,,
AFI's 100 Years... 100 Movies: America's Greatest Movies (1998),http://www.imdb.com/title/tt0192952/,7,8280,1998,0,0,0,0,0,0,0,0,0,0,,,,
Jin-Roh (1999),http://www.imdb.com/title/tt0193253/,7.6,6120,1999,0,0,1,0,0,1,0,0,0,0,,,,
Ying xiong ben se (1967),http://www.imdb.com/title/tt0193645/,7.3,7080,1967,1,0,0,0,0,1,0,0,0,0,,,,
Panic (2000),http://www.imdb.com/title/tt0194218/,6.8,5280,2000,0,0,0,1,1,1,0,0,0,0,,,,
Grasgeflüster (2000),http://www.imdb.com/title/tt0195234/,6.9,5580,2000,0,0,0,1,1,0,0,0,0,0,,,,
Erin Brockovich (2000),http://www.imdb.com/title/tt0195685/,7.3,7860,2000,0,0,0,0,0,1,0,0,0,0,,,,
Final Destination (2000),http://www.imdb.com/title/tt0195714/,6.8,5880,2000,0,0,0,0,0,0,1,0,0,1,,,,
Saturday Night Live: The Best of Robin Williams (Video 1991),http://www.imdb.com/title/tt0196072/,7.2,6540,1991,0,0,0,1,0,0,0,0,0,0,,,,
Schmalspurganoven (2000),http://www.imdb.com/title/tt0196216/,6.7,5640,2000,0,0,0,1,1,0,0,0,0,0,,,,
Die kleinen Füchse (1941),http://www.imdb.com/title/tt0033836/,8.2,6960,1941,0,0,0,0,0,1,0,1,0,0,,,,
The Big Con (1975),http://www.imdb.com/title/tt0196380/,7.1,4800,1975,0,0,0,1,0,0,0,0,0,0,,,,
Mission Hill (TV Series 1999–2002),http://www.imdb.com/title/tt0197148/,8,1800,1999,0,0,1,1,0,1,0,0,0,0,,,,
Der kleine Meisterregisseur (TV Series 1999–2004),http://www.imdb.com/title/tt0197159/,8.2,1800,1999,0,0,1,1,0,1,0,0,0,0,,,,
Who Wants to Be a Millionaire (TV Series 1999– ),http://www.imdb.com/title/tt0197194/,5.8,3000,1999,0,0,0,0,0,0,0,0,0,0,,,,
Monkey King - Ein Krieger zwischen den Welten (TV Movie 2001),http://www.imdb.com/title/tt0198779/,5.4,9000,2001,0,1,0,0,0,0,0,0,0,0,,,,
In the Cut (2003),http://www.imdb.com/title/tt0199626/,5.3,7140,2003,0,0,0,0,0,0,0,0,0,1,,,,
Love & Basketball (2000),http://www.imdb.com/title/tt0199725/,7.1,7440,2000,0,0,0,0,0,1,0,1,0,0,,,,
Red Planet (2000),http://www.imdb.com/title/tt0199753/,5.6,6360,2000,1,0,0,0,0,0,0,0,1,1,,,,
Zoku Zatôichi monogatari (1962),http://www.imdb.com/title/tt0200309/,7.4,4320,1962,1,1,0,0,0,0,0,0,0,0,,,,
Bank Job (2008),http://www.imdb.com/title/tt0200465/,7.3,6660,2008,0,0,0,0,1,1,0,0,0,1,,,,
The Human Condition (1999),http://www.imdb.com/title/tt0201675/,7.1,600,1999,0,0,0,1,0,0,0,0,0,0,,,,
Rock Star (2001),http://www.imdb.com/title/tt0202470/,6.1,6300,2001,0,0,0,1,0,1,0,0,0,0,,,,
Monty Python's Fliegender Zirkus (TV Movie 1971),http://www.imdb.com/title/tt0202477/,8.2,5400,1971,0,0,0,1,0,0,0,0,0,0,,,,
Way of the Gun (2000),http://www.imdb.com/title/tt0202677/,6.7,7140,2000,1,0,0,0,1,1,0,0,0,0,,,,
Zusammen! (2000),http://www.imdb.com/title/tt0203166/,7.5,6360,2000,0,0,0,1,0,1,0,1,0,0,,,,
Making 'The Shining' (TV Movie 1980),http://www.imdb.com/title/tt0203667/,7.6,2100,1980,0,0,0,0,0,0,0,0,0,0,,,,
Eine Nacht bei McCool's (2001),http://www.imdb.com/title/tt0203755/,6.1,5580,2001,0,0,0,1,1,0,0,0,0,0,,,,
Menschenjagd (1941),http://www.imdb.com/title/tt0033873/,7.5,6300,1941,0,0,0,0,0,1,0,0,0,1,,,,
The Watcher (2000),http://www.imdb.com/title/tt0204626/,5.3,5820,2000,0,0,0,0,1,0,0,0,0,1,,,,
Sûpâ Mario Rando (Video Game 1989),http://www.imdb.com/title/tt0204660/,7.5,,1989,1,1,0,0,0,0,0,0,0,0,,,,
Thomas\,thomas die fantastische lokomotive,http://www.imdb.com/title/tt0205461/,2412,5100,2,0,1,0,0,0,0,0,0,0,0,,,
MGM: When the Lion Roars (TV Mini-Series 1992),http://www.imdb.com/title/tt0205658/,7.2,21600,1992,0,0,0,0,0,0,0,0,0,0,,,,
Psycho Beach Party (2000),http://www.imdb.com/title/tt0206226/,6.3,5700,2000,0,0,0,1,0,0,1,0,0,0,,,,
Ein filmreifer Mord (TV Movie 1999),http://www.imdb.com/title/tt0206305/,7,5640,1999,0,0,0,1,1,0,0,0,0,0,,,,
Joyride - Spritztour (2001),http://www.imdb.com/title/tt0206314/,6.6,5820,2001,0,0,0,0,0,1,0,0,0,1,,,,
SpongeBob Schwammkopf (TV Series 1999– ),http://www.imdb.com/title/tt0206512/,8.1,1800,1999,0,0,1,1,0,0,0,0,0,0,,,,
Hier ist John Doe (1941),http://www.imdb.com/title/tt0033891/,7.7,7320,1941,0,0,0,1,0,1,0,1,0,0,,,,
Tetris (Video Game 1989),http://www.imdb.com/title/tt0207153/,8.2,,1989,1,0,0,0,0,0,0,0,0,0,,,,
Biwi No. 1 (1999),http://www.imdb.com/title/tt0207341/,5.4,9540,1999,0,0,0,1,0,1,0,1,0,0,,,,
Fainaru Fantajî IV (Video Game 1991),http://www.imdb.com/title/tt0207487/,8.2,,1991,0,1,0,0,0,0,0,0,1,0,,,,
Getaway (TV Series 1992– ),http://www.imdb.com/title/tt0207934/,6.3,3600,1992,0,0,0,0,0,0,0,0,0,0,,,,
Clerks (TV Series 2000– ),http://www.imdb.com/title/tt0210413/,7.4,1320,2000,0,0,1,1,0,0,0,0,0,0,,,,
Der Weg nach Sansibar (1941),http://www.imdb.com/title/tt0034116/,7.3,5460,1941,0,1,0,1,0,0,0,0,0,0,,,,
"Cinéma\, de notre temps David Cronenberg: I Have to Make the Word Be Flesh (TV Episode 1999)",http://www.imdb.com/title/tt0210637/,7.3,4080,1999,0,0,0,0,0,0,0,0,0,0,,,,
Dulhe Raja (1998),http://www.imdb.com/title/tt0210659/,6.4,,1998,0,0,0,1,0,0,0,0,0,0,,,,
Goya (1999),http://www.imdb.com/title/tt0210717/,6.7,6360,1999,0,0,0,0,0,1,0,0,0,0,,,,
102 Dalmatiner (2000),http://www.imdb.com/title/tt0211181/,4.8,6000,2000,0,1,0,1,0,0,0,0,0,0,,,,
Knockaround Guys (2001),http://www.imdb.com/title/tt0211465/,6.1,5520,2001,0,0,0,0,1,1,0,0,0,1,,,,
Awake (2007),http://www.imdb.com/title/tt0211933/,6.5,5040,2007,0,0,0,0,1,0,0,0,0,1,,,,
Prince of Persia (Video Game 1989),http://www.imdb.com/title/tt0212448/,8,,1989,1,1,0,0,0,0,0,0,0,0,,,,
Pearl Harbor (2001),http://www.imdb.com/title/tt0213149/,5.9,10980,2001,1,0,0,0,0,1,0,1,0,0,,,,
Cowboy Bebop (TV Series 1998– ),http://www.imdb.com/title/tt0213338/,9,1500,1998,1,1,1,0,0,0,0,0,0,0,,,,
Chacha Bhatija (1977),http://www.imdb.com/title/tt0213544/,5.8,,1977,1,0,0,1,0,1,0,0,0,0,,,,
Liebesbeziehungen (2000),http://www.imdb.com/title/tt0213890/,7.1,12960,2000,0,0,0,0,0,1,0,1,0,0,,,,
Sooryavansham (1999),http://www.imdb.com/title/tt0214178/,6,,1999,1,0,0,0,0,1,0,0,0,0,,,,
Dragon Ball Z (TV Series 1989–2003),http://www.imdb.com/title/tt0214341/,8.9,1560,1989,1,1,1,0,0,0,0,0,0,0,,,,
Maria - Die heilige Mutter Gottes (TV Movie 1999),http://www.imdb.com/title/tt0214930/,5.8,5280,1999,0,0,0,0,0,1,0,0,0,0,,,,
Eheposse (1941),http://www.imdb.com/title/tt0034198/,7.2,5520,1941,0,0,0,1,0,0,0,1,0,0,,,,
It's Showtime (2000),http://www.imdb.com/title/tt0215545/,6.4,8100,2000,0,0,0,1,0,1,0,0,0,0,,,,
Wer wird Millionär? (TV Series 1999– ),http://www.imdb.com/title/tt0216519/,6.9,,1999,0,0,0,0,0,0,0,0,0,0,,,,
Vampire Hunter D: Bloodlust (2000),http://www.imdb.com/title/tt0216651/,7.8,6180,2000,1,1,1,0,0,0,0,0,0,0,,,,
Dil Kya Kare (1999),http://www.imdb.com/title/tt0216707/,5.4,,1999,0,0,0,0,0,1,0,0,0,1,,,,
Harrison's Flowers (2000),http://www.imdb.com/title/tt0216799/,7.2,7800,2000,0,0,0,0,0,1,0,1,0,0,,,,
Gangs of New York (2002),http://www.imdb.com/title/tt0217505/,7.5,10020,2002,0,0,0,0,1,1,0,0,0,0,,,,
Deadly Blaze - Heißer als die Hölle (2001),http://www.imdb.com/title/tt0217979/,3.1,5580,2001,1,0,0,0,0,1,0,0,0,1,,,,
Der Ritt nach Hause (TV Movie 2001),http://www.imdb.com/title/tt0218127/,6.9,5520,2001,1,0,0,0,0,0,0,0,0,0,,,,
Original Sin (2001),http://www.imdb.com/title/tt0218922/,6,6960,2001,0,0,0,0,0,1,0,1,0,0,,,,
Family Man - Eine himmlische Entscheidung (2000),http://www.imdb.com/title/tt0218967/,6.7,7500,2000,0,0,0,1,0,1,0,0,0,0,,,,
Broken Barrier (1952),http://www.imdb.com/title/tt0219565/,6.6,,1952,0,0,0,0,0,0,0,0,0,0,,,,
A Yank in the R.A.F. (1941),http://www.imdb.com/title/tt0034405/,6.5,5880,1941,1,1,0,0,0,1,0,0,0,0,,,,
Saving Ryan's Privates (1998),http://www.imdb.com/title/tt0221532/,5,480,1998,0,0,0,1,0,0,0,0,0,0,,,,
Hey Ram - Augenblicke der Zärtlichkeit (2000),http://www.imdb.com/title/tt0222012/,8,11160,2000,0,0,0,0,0,1,0,0,0,0,,,,
The Nameless (1999),http://www.imdb.com/title/tt0222368/,6,6120,1999,0,0,0,0,0,1,1,0,0,0,,,,
The Best of Film Noir (Video 1999),http://www.imdb.com/title/tt0222809/,6.6,7200,1999,0,0,0,0,0,0,0,0,0,0,,,,
Faust: Love of the Damned (2000),http://www.imdb.com/title/tt0223268/,4,5880,2000,0,0,0,0,0,0,1,0,0,0,,,,
Reversal (2001),http://www.imdb.com/title/tt0226379/,6.7,,2001,0,0,0,0,0,1,0,1,0,0,,,,
Made (2001),http://www.imdb.com/title/tt0227005/,6.5,5700,2001,0,0,0,1,1,1,0,0,0,0,,,,
One 2 Ka 4 - Der Babysitter-Cop (2001),http://www.imdb.com/title/tt0227194/,5.3,,2001,1,0,0,1,0,1,0,0,0,0,,,,
Bambi (1942),http://www.imdb.com/title/tt0034492/,7.4,3900,1942,0,0,1,0,0,1,0,0,0,0,,,,
Spy Kids (2001),http://www.imdb.com/title/tt0227538/,5.4,5280,2001,1,1,0,1,0,0,0,0,0,0,,,,
Felix (2000),http://www.imdb.com/title/tt0228242/,7,5700,2000,0,0,0,1,0,1,0,1,0,0,,,,
Lebenszeichen - Proof of Life (2000),http://www.imdb.com/title/tt0228750/,6.2,8100,2000,1,0,0,0,0,1,0,0,0,1,,,,
De stilte van het naderen (TV Movie 2000),http://www.imdb.com/title/tt0228901/,8,,2000,0,0,0,0,0,1,0,1,0,1,,,,
Tomei-tengu (1960),http://www.imdb.com/title/tt0229783/,,4380,1960,0,0,0,0,0,0,0,0,0,0,,,,
Teuflisch (2000),http://www.imdb.com/title/tt0230030/,5.9,5580,2000,0,0,0,1,0,0,0,1,0,0,,,,
Sweet November - Eine Liebe im Herbst (2001),http://www.imdb.com/title/tt0230838/,6.6,6900,2001,0,0,0,0,0,1,0,1,0,0,,,,
Mi Rotze Lhiyot Millioner? (TV Series 1999– ),http://www.imdb.com/title/tt0231033/,,2700,1999,0,0,0,0,0,0,0,0,0,0,,,,
Crocodile Dundee in Los Angeles (2001),http://www.imdb.com/title/tt0231402/,4.7,5520,2001,0,1,0,1,0,0,0,0,0,0,,,,
Naukar Biwi Ka (1983),http://www.imdb.com/title/tt0232169/,6.6,,1983,1,0,0,1,0,1,0,0,0,0,,,,
The Fast and the Furious (2001),http://www.imdb.com/title/tt0232500/,6.6,6360,2001,1,0,0,0,1,0,0,0,0,1,,,,
Crime Is King (2001),http://www.imdb.com/title/tt0233142/,5.9,7500,2001,1,0,0,1,1,0,0,0,0,0,,,,
Batman of the Future - Der Joker kommt zurück (Video 2000),http://www.imdb.com/title/tt0233298/,7.8,4560,2000,1,0,1,0,1,0,0,0,0,0,,,,
Chachi 420 (1997),http://www.imdb.com/title/tt0233422/,7.4,,1997,0,0,0,1,0,0,0,0,0,0,,,,
Love Story (1981),http://www.imdb.com/title/tt0234141/,6.5,,1981,1,0,0,0,0,1,0,1,0,0,,,,
Wir müssen zusammenhalten (2000),http://www.imdb.com/title/tt0234288/,7.8,7380,2000,0,0,0,1,0,1,0,0,0,0,,,,
Der gläserne Schlüssel (1942),http://www.imdb.com/title/tt0034798/,7.2,5100,1942,0,0,0,0,1,1,0,0,0,0,,,,
Summer Catch (2001),http://www.imdb.com/title/tt0234829/,4.9,6480,2001,0,0,0,1,0,1,0,1,0,0,,,,
Suzhou River (2000),http://www.imdb.com/title/tt0234837/,7.5,4980,2000,0,0,0,0,0,1,0,1,0,0,,,,
Dex\,dex der frauenheld,http://www.imdb.com/title/tt0234853/,6281,5220,3,0,0,0,1,0,0,0,1,0,0,,,
Heimweg (1999),http://www.imdb.com/title/tt0235060/,7.9,5340,1999,0,0,0,0,0,1,0,1,0,0,,,,
The Filth and the Fury (2000),http://www.imdb.com/title/tt0236216/,7.7,6480,2000,0,0,0,0,0,0,0,0,0,0,,,,
Der Schneider von Panama (2001),http://www.imdb.com/title/tt0236784/,6.1,6540,2001,0,0,0,0,0,1,0,0,0,1,,,,
Der Pakt der Wölfe (2001),http://www.imdb.com/title/tt0237534/,7.1,8520,2001,1,0,0,0,0,0,1,0,0,0,,,,
Replicant (2001),http://www.imdb.com/title/tt0238552/,5.3,6000,2001,1,0,0,0,0,0,0,0,1,1,,,,
In Which We Serve (1942),http://www.imdb.com/title/tt0034891/,7.4,6840,1942,0,0,0,0,0,1,0,0,0,0,,,,
The Sinister Saga of Making 'The Stunt Man' (Video 2000),http://www.imdb.com/title/tt0238606/,6.3,6720,2000,0,0,0,0,0,0,0,0,0,0,,,,
100 Schritte (2000),http://www.imdb.com/title/tt0238891/,7.7,6840,2000,0,0,0,0,1,1,0,0,0,0,,,,
Devdas (2002),http://www.imdb.com/title/tt0238936/,7.6,11100,2002,0,0,0,0,0,0,0,1,0,0,,,,
Cats & Dogs - Wie Hund und Katz' (2001),http://www.imdb.com/title/tt0239395/,5.2,5220,2001,0,0,0,1,0,0,0,0,0,0,,,,
Ohne Worte (2001),http://www.imdb.com/title/tt0239949/,4.9,5580,2001,0,0,0,1,0,0,0,1,0,0,,,,
Water (2005),http://www.imdb.com/title/tt0240200/,7.8,7020,2005,0,0,0,0,0,1,0,1,0,0,,,,
